{'title': '2022年剧情冒险《搜救/极地营救》HD国语中英双字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 冒险 / 灾难', 'douban_grade': '◎豆瓣评分\u30005.6/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000108分钟'}
{'title': '2022年悬疑惊悚《亲爱的别担心》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/悬疑/惊悚', 'douban_grade': '◎豆瓣评分\u30006.5/10 from 2097  users', 'time_total': '◎片\u3000\u3000长\u3000122分钟'}
{'title': '2022年惊悚恐怖《野蛮人》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000惊悚/恐怖', 'douban_grade': '◎豆瓣评分\u30007.5/10 from 976  users', 'time_total': '◎片\u3000\u3000长\u3000102分钟'}
{'title': '2022年喜剧爱情《天堂门票》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧 /  爱情', 'douban_grade': '◎豆瓣评分\u30006.7/10 from 413  users', 'time_total': '◎片\u3000\u3000长\u3000104分钟'}
{'title': '2022年爱情《20世纪少女》BD韩语中字', 'create_local': '◎产\u3000\u3000地\u3000韩国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000爱情', 'douban_grade': '◎豆瓣评分\u30007.0/10 from 1208  users', 'time_total': '◎片\u3000\u3000长\u3000120分钟'}
{'title': '2022年恐怖《断魂小丑2》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000恐怖', 'douban_grade': '◎豆瓣评分\u30006.3/10 from 1882  users', 'time_total': '◎片\u3000\u3000长\u3000138分钟'}
{'title': '2020年战争《被遗忘的战役》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000荷兰 / 立陶宛 /  比利时', 'up_year': '2020年', 'type': '◎类\u3000\u3000别\u3000剧情 / 战争', 'douban_grade': '◎豆瓣评分\u30007.6/10 from 6533 users', 'time_total': '◎片\u3000\u3000长\u3000124分钟'}
{'title': '2022年高分恐怖《珀尔》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000加拿大 /  美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000恐怖', 'douban_grade': '◎豆瓣评分\u30007.3/10 from 2207  users', 'time_total': '◎片\u3000\u3000长\u3000102分钟'}
{'title': '2022年动作悬疑《神探大战》BD国粤双语中字', 'create_local': '◎产\u3000\u3000地\u3000中国香港/中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000动作/悬疑/犯罪', 'douban_grade': '◎豆瓣评分\u30007.0/10 from 180199  users', 'time_total': '◎片\u3000\u3000长\u3000101分钟(中国大陆)'}
{'title': '2022年剧情《世界上最爱我的人》HD国语中字', 'create_local': '◎类\u3000\u3000别\u3000剧情/犯罪', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/犯罪', 'douban_grade': '◎豆瓣评分\u30004.7/10 from 2183  users', 'time_total': '◎片\u3000\u3000长\u3000分钟'}
{'title': '2022年动作《壮志凌云2：独行侠》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国/中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000动作', 'douban_grade': '◎豆瓣评分\u30008.0/10 from 108564  users', 'time_total': '◎片\u3000\u3000长\u3000131分钟'}
{'title': '2022年惊悚恐怖《月光光心慌慌：终结》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000惊悚/恐怖', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年动画喜剧《刀锋剑客》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000英国/中国大陆/加拿大/美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧/动作/动画', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年剧情《妈妈！/春歌》HD国语中字', 'create_local': '◎类\u3000\u3000别\u3000剧情', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情', 'douban_grade': '◎豆瓣评分\u30007.4/10 from 36665  users', 'time_total': '◎片\u3000\u3000长\u3000109分钟'}
{'title': '2022年悬疑恐怖《新养鬼吃人》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000悬疑 / 惊悚 /  恐怖', 'douban_grade': '◎豆瓣评分\u30005.7/10 from 1471 users', 'time_total': '◎片\u3000\u3000长\u3000121分钟'}
{'title': '2022年科幻喜剧《独行月球》HD国语中英双字', 'create_local': '◎类\u3000\u3000别\u3000喜剧 / 科幻', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧 / 科幻', 'douban_grade': '◎豆瓣评分\u30006.8/10 from 467071 users', 'time_total': '◎片\u3000\u3000长\u3000122分钟'}
{'title': '2022年剧情战争《有史以来最棒的啤酒运送》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/战争', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年剧情悬疑《最幸运的女孩》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/悬疑', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年科幻动画《DC萌宠特遣队》BD国英双语中字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧/动作/科幻/动画/冒险', 'douban_grade': '◎豆瓣评分\u30007.2/10 from 4486 users', 'time_total': '◎导\u3000\u3000演\u3000贾里德·斯特恩 Jared  Stern'}
{'title': '2022年喜剧《主竞赛》BD西班牙语中字', 'create_local': '◎产\u3000\u3000地\u3000西班牙/阿根廷', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧', 'douban_grade': '◎豆瓣评分\u30007.1/10 from 1955 users', 'time_total': '◎片\u3000\u3000长\u3000114分钟'}
{'title': '2022年动作战争《狼群》HD国语中字', 'create_local': '◎类\u3000\u3000别\u3000动作 /  战争', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000动作 /  战争', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 6996 users', 'time_total': '◎片\u3000\u3000长\u3000105分钟'}
{'title': '2022年传记战争《特级英雄黄继光》HD国语中字', 'create_local': '◎类\u3000\u3000别\u3000剧情/传记/战争', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/传记/战争', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年喜剧《一盘大棋》HD国语中字', 'create_local': '◎类\u3000\u3000别\u3000剧情/喜剧', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/喜剧', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年奇幻动画《漂流家园》BD国日双语中字', 'create_local': '◎产\u3000\u3000地\u3000日本', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/动画/奇幻/冒险', 'douban_grade': '◎豆瓣评分\u30006.5/10 from 1375  users', 'time_total': '◎片\u3000\u3000长\u3000分钟'}
{'title': '2022年剧情《鸢》BD日语中字', 'create_local': '◎产\u3000\u3000地\u3000日本', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情', 'douban_grade': '◎豆瓣评分\u30007.7/10 from 244 users', 'time_total': '◎片\u3000\u3000长\u3000139分钟'}
{'title': '2022年剧情传记《金发梦露》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/传记', 'douban_grade': '◎豆瓣评分\u30005.8/10 from 4553 users', 'time_total': '◎片\u3000\u3000长\u3000166分钟'}
{'title': '2022年悬疑惊悚《炼狱机器》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国 / 英国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 悬疑 / 惊悚 /  恐怖', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年动作惊悚《子弹列车》HD英语中字', 'create_local': '◎产\u3000\u3000地\u3000日本 / 美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧 / 动作 / 惊悚', 'douban_grade': '◎豆瓣评分\u30007.8/10 from 11499  users', 'time_total': '◎片\u3000\u3000长\u3000126分钟'}
{'title': '2022年动画《咒术回战0剧场版》BD日语中字', 'create_local': '◎产\u3000\u3000地\u3000日本', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000动画', 'douban_grade': '◎豆瓣评分\u30008.2/10 from 22837 users', 'time_total': '◎片\u3000\u3000长\u3000105分钟'}
{'title': '2022年科幻恐怖喜剧《芒斯特一家》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧 / 科幻 / 恐怖 /  奇幻', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年动画奇幻《漂流家园》BD日语中字', 'create_local': '◎产\u3000\u3000地\u3000日本', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/动画/奇幻/冒险', 'douban_grade': '◎豆瓣评分\u30006.5/10 from 1375  users', 'time_total': '◎片\u3000\u3000长\u3000分钟'}
{'title': '2022年动作悬疑《孤岛寻踪》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/动作/悬疑/惊悚/犯罪', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年剧情《安静的女孩》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000爱尔兰', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情', 'douban_grade': '◎豆瓣评分\u30007.7/10 from 435  users', 'time_total': '◎片\u3000\u3000长\u300094分钟'}
{'title': '2022年惊悚恐怖《邀请函/世纪婚魇》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000惊悚/恐怖', 'douban_grade': '◎豆瓣评分\u30004.9/10 from 421  users', 'time_total': '◎片\u3000\u3000长\u3000104分钟'}
{'title': '2022年悬疑惊悚《主播/死亡预报》BD韩语中字', 'create_local': '◎产\u3000\u3000地\u3000韩国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000悬疑/惊悚', 'douban_grade': '◎豆瓣评分\u30006.2/10 from 1849 users', 'time_total': '◎片\u3000\u3000长\u3000111分钟'}
{'title': '2022年剧情奇幻《三千年的渴望》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000澳大利亚 / 美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 爱情 /  奇幻', 'douban_grade': '◎豆瓣评分\u30006.6/10 from 2066  users', 'time_total': '◎片\u3000\u3000长\u3000108分钟'}
{'title': '2022年剧情《断·桥/世外桃源/断桥》HD国语中字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/犯罪', 'douban_grade': '◎豆瓣评分\u30006.1/10  from 169760 users', 'time_total': '◎片\u3000\u3000长\u3000113分钟'}
{'title': '2022年剧情惊悚《罪犯艾米丽》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 惊悚 /  犯罪', 'douban_grade': '◎豆瓣评分\u30006.4/10 from 285  users', 'time_total': '◎片\u3000\u3000长\u300093分钟'}
{'title': '2022年科幻《外星+人》BD韩语中字', 'create_local': '◎产\u3000\u3000地\u3000韩国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000科幻/古装', 'douban_grade': '◎豆瓣评分\u30006.4/10 from 4533 users', 'time_total': '◎片\u3000\u3000长\u3000142分钟'}
{'title': '2022年科幻动作《雷神4：爱与雷霆》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000澳大利亚 / 美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧 / 动作 / 爱情 / 科幻 / 奇幻 /  冒险', 'douban_grade': '◎豆瓣评分\u30006.0/10 from  18,621 users', 'time_total': '◎片\u3000\u3000长\u3000119分钟'}
{'title': '2022年悬疑《沼泽深处的女孩》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 爱情 /  悬疑', 'douban_grade': '◎豆瓣评分\u30007.7/10 from 2023  users', 'time_total': '◎片\u3000\u3000长\u3000125分钟'}
{'title': '2022年惊悚《坠落/跌落/下坠》HD中英双字', 'create_local': '◎产\u3000\u3000地\u3000英国/美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000惊悚', 'douban_grade': '◎豆瓣评分\u30007.3/10 from 42207 users', 'time_total': '◎片\u3000\u3000长\u3000107分钟'}
{'title': '2022年喜剧《婚头转向/婚顾女王》BD日语中字', 'create_local': '◎产\u3000\u3000地\u3000日本', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 喜剧 /  爱情', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年高分动画《雄狮少年》BD国粤双语中字', 'create_local': '◎类\u3000\u3000别\u3000剧情/喜剧/动画', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/喜剧/动画', 'douban_grade': '◎豆瓣评分\u30008.2/10 from 435496 users', 'time_total': '◎片\u3000\u3000长\u3000104分钟'}
{'title': '2022年科幻动画《DC萌宠特遣队》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧/动作/科幻/动画/冒险', 'douban_grade': '◎豆瓣评分\u30007.2/10 from 4486 users', 'time_total': '◎导\u3000\u3000演\u3000贾里德·斯特恩 Jared  Stern'}
{'title': '2022年动作《逃狱兄弟3》BD国粤双语中字', 'create_local': '◎产\u3000\u3000地\u3000中国香港', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧/动作/犯罪', 'douban_grade': '◎豆瓣评分\u30005.6/10 from 2053 users', 'time_total': '◎片\u3000\u3000长\u300086分钟'}
{'title': '2022年剧情《七人乐队》HD国粤双语中字', 'create_local': '◎产\u3000\u3000地\u3000中国香港/中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/历史', 'douban_grade': '◎豆瓣评分\u30006.8/10 from 13025 users', 'time_total': '◎片\u3000\u3000长\u3000113分钟(戛纳)'}
{'title': '2022年获奖剧情《阿尔卡拉斯》HD中英双字', 'create_local': '◎产\u3000\u3000地\u3000西班牙 / 意大利', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 /  家庭', 'douban_grade': '◎豆瓣评分\u30007.6/10 from 1589  users', 'time_total': '◎片\u3000\u3000长\u3000120分钟'}
{'title': '2022年悬疑惊悚《仇念》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧  / 悬疑 / 惊悚', 'douban_grade': '◎豆瓣评分\u30007.2/10 from 429  users', 'time_total': '◎片\u3000\u3000长\u3000分钟'}
{'title': '2022年科幻悬疑恐怖《不/虚无》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000科幻 /  悬疑 / 惊悚 / 恐怖', 'douban_grade': '◎豆瓣评分\u30007.4/10 from 7268  users', 'time_total': '◎片\u3000\u3000长\u3000分钟'}
{'title': '2022年剧情《人生大事》HD国语中字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆/中国香港', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/家庭', 'douban_grade': '◎豆瓣评分\u30007.3/10 from 295552 users', 'time_total': '◎片\u3000\u3000长\u3000112分钟'}
{'title': '2022年科幻动作《撒玛利亚》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情  / 动作 / 科幻 /  奇幻', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年动作《壮志凌云2：独行侠》HD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国 /  中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000动作', 'douban_grade': '◎豆瓣评分\u30008.3/10 from 13667  users', 'time_total': '◎片\u3000\u3000长\u3000131分钟'}
{'title': '2022年悬疑动作《神探大战》HD国粤双语中字', 'create_local': '◎产\u3000\u3000地\u3000中国香港/中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000动作/悬疑/犯罪', 'douban_grade': '◎豆瓣评分\u30007.0/10 from 180199  users', 'time_total': '◎片\u3000\u3000长\u3000101分钟(中国大陆)'}
{'title': '2022年剧情喜剧《哈里斯夫人去巴黎》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000匈牙利/英国/加拿大/法国/美国/比利时', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/喜剧', 'douban_grade': '◎豆瓣评分\u30006.7/10 from 1065 users', 'time_total': '◎片\u3000\u3000长\u3000115分钟'}
{'title': '2022年悬疑恐怖《孤儿怨：首杀》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 悬疑 / 惊悚 / 恐怖 /  犯罪', 'douban_grade': '◎豆瓣评分\u30005.6/10 from 4814  users', 'time_total': '◎片\u3000\u3000长\u300098分钟'}
{'title': '2022年剧情《一家之主》BD国语中字', 'create_local': '◎类\u3000\u3000别\u3000剧情 /  家庭', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 /  家庭', 'douban_grade': '◎豆瓣评分\u30007.0/10 from 804 users', 'time_total': '◎片\u3000\u3000长\u3000分钟'}
{'title': '2022年动作《壮志凌云2：独行侠》HD韩版中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国 /  中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000动作', 'douban_grade': '◎豆瓣评分\u30008.3/10 from 13667  users', 'time_total': '◎片\u3000\u3000长\u3000131分钟'}
{'title': '2022年科幻动画《冲出地球》HD国语中字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000科幻 /  动画 / 冒险', 'douban_grade': '◎豆瓣评分\u30006.7/10 from  4081 users', 'time_total': '◎片\u3000\u3000长\u3000100分钟'}
{'title': '2021年剧情历史《燃烧吧！剑》BD日语中字', 'create_local': '◎产\u3000\u3000地\u3000日本', 'up_year': '2021年', 'type': '◎类\u3000\u3000别\u3000剧情 /  历史', 'douban_grade': '◎豆瓣评分\u30006.5/10 from 628 users', 'time_total': '◎片\u3000\u3000长\u3000148分钟'}
{'title': '2022年剧情《前科者》BD日语中字', 'create_local': '◎类\u3000\u3000别\u3000剧情', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情', 'douban_grade': '◎豆瓣评分\u30006.9/10 from 260 users', 'time_total': '◎片\u3000\u3000长\u3000134分钟'}
{'title': '2022年科幻喜剧《外太空的莫扎特》HD国语中英双字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧 / 科幻 /  家庭', 'douban_grade': '◎豆瓣评分\u30004.7/10 from 36969  users', 'time_total': '◎片\u3000\u3000长\u3000136分钟'}
{'title': '2021年冒险动画《蜜熊的音乐奇旅》BD国英双语双字', 'create_local': '◎产\u3000\u3000地\u3000美国 /  加拿大', 'up_year': '2021年', 'type': '◎类\u3000\u3000别\u3000动画 / 音乐 / 冒险', 'douban_grade': '◎豆瓣评分\u30006.6/10 from 2881  users', 'time_total': '◎片\u3000\u3000长\u300095分钟'}
{'title': '2022年动作惊悚《日班猎人》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧 / 动作 / 惊悚 /  奇幻', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年高分获奖悬疑《分手的决心》BD韩语中字', 'create_local': '◎产\u3000\u3000地\u3000韩国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/悬疑/犯罪', 'douban_grade': '◎豆瓣评分\u30007.9/10 from 15405 users', 'time_total': '◎片\u3000\u3000长\u3000138分钟'}
{'title': '2022年高分获奖剧情《隐入尘烟》HD国语中字', 'create_local': '◎类\u3000\u3000别\u3000剧情', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情', 'douban_grade': '◎豆瓣评分\u30008.4/10 from 96694  users', 'time_total': '◎片\u3000\u3000长\u3000133分钟'}
{'title': '2022年惊悚《弗雷加德》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000英国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000惊悚', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
